_id,endpointUrl,latency,datetime
661735d7e056026a76b03e44,persistencec/s/no-ac,19,1712797142970
661735d7e056026a76b03e48,persistencec/s/no-ac,10,1712797142984
661735d7e056026a76b03e4e,persistencec/s/no-ac,40,1712797142969
661735d7e056026a76b03e51,persistencec/s/no-ac,39,1712797142974
661735d8e056026a76b03e5b,persistencec/s/no-ac,24,1712797143019
661735d8e056026a76b03e62,persistencec/s/no-ac,15,1712797143044
661735d8e056026a76b03e65,persistencec/s/no-ac,24,1712797143038
661735d8e056026a76b03e66,persistencec/s/no-ac,17,1712797143045
661735d8e056026a76b03e69,persistencec/s/no-ac,15,1712797143057
661735d8e056026a76b03e6f,persistencec/s/no-ac,32,1712797143049
661735d8e056026a76b03e72,persistencec/s/no-ac,19,1712797143074
661735d8e056026a76b03e74,persistencec/s/no-ac,19,1712797143077
661735d9e056026a76b03e7a,persistencec/s/no-ac,15,1712797143091
661735d9e056026a76b03e7f,persistencec/s/no-ac,45,1712797143083
661735d9e056026a76b03e87,persistencec/s/no-ac,19,1712797143124
661735dae056026a76b03e94,persistencec/s/no-ac,11,1712797146412
661735dae056026a76b03e98,persistencec/s/no-ac,15,1712797146413
661735dae056026a76b03e9f,persistencec/s/no-ac,11,1712797146447
661735dae056026a76b03ea1,persistencec/s/no-ac,21,1712797146447
661735dae056026a76b03ea2,persistencec/s/no-ac,27,1712797146448
