_id,endpointUrl,latency,datetime
6617ea97e8cb631ac4f6995d,fexpjpa/unsec/orderTypes,5,1712843414079
6617ea97e8cb631ac4f6995e,fexpjpa/unsec/orders,10,1712843414077
6617ea97e8cb631ac4f6995f,fexpjpa/unsec/orders,10,1712843414124
6617ea97e8cb631ac4f69960,fexpjpa/unsec/orderTypes,5,1712843414155
6617ea97e8cb631ac4f69961,fexpjpa/unsec/orders,10,1712843414156
6617ea97e8cb631ac4f69962,fexpjpa/unsec/orderTypes,8,1712843414159
6617ea97e8cb631ac4f69963,fexpjpa/unsec/orderTypes,3,1712843414165
6617ea97e8cb631ac4f69964,fexpjpa/unsec/orderTypes,7,1712843414162
6617ea97e8cb631ac4f69965,fexpjpa/unsec/orderTypes,4,1712843414177
6617ea97e8cb631ac4f69966,fexpjpa/unsec/orders,7,1712843414180
6617ea97e8cb631ac4f69967,fexpjpa/unsec/orderTypes,4,1712843414186
6617ea97e8cb631ac4f69968,fexpjpa/unsec/orderTypes,4,1712843414218
6617ea97e8cb631ac4f69969,fexpjpa/unsec/orderTypes,4,1712843414242
6617ea97e8cb631ac4f6996a,fexpjpa/unsec/orders,7,1712843414250
6617ea98e8cb631ac4f6996b,fexpjpa/unsec/orderTypes,4,1712843414275
6617ea98e8cb631ac4f6996c,fexpjpa/unsec/orderTypes,3,1712843414280
6617ea98e8cb631ac4f6996d,fexpjpa/unsec/orders,7,1712843414312
6617ea98e8cb631ac4f6996e,fexpjpa/unsec/customers,5,1712843414316
6617ea98e8cb631ac4f6996f,fexpjpa/unsec/customers,5,1712843414395
6617ea98e8cb631ac4f69970,fexpjpa/unsec/orderTypes,3,1712843414401
6617ea98e8cb631ac4f69971,fexpjpa/unsec/customers,5,1712843414466
